path,line,kind,owner_hint,priority,tag,text
lukhas/branding_bridge/__init__.py,12,general,,P3,,: Implement or remove dead imports referencing this module
lukhas/compliance/__init__.py,12,general,,P3,,: Implement or remove dead imports referencing this module
lukhas/consciousness/registry/__init__.py,12,general,,P3,,: Implement or remove dead imports referencing this module
lukhas/core/consciousness_ticker/__init__.py,12,general,,P3,,: Implement or remove dead imports referencing this module
lukhas/core/matriz/__init__.py,12,general,,P3,,: Implement or remove dead imports referencing this module
lukhas/core/ring/__init__.py,12,general,,P3,,: Implement or remove dead imports referencing this module
lukhas/core/drift/__init__.py,12,general,,P3,,: Implement or remove dead imports referencing this module
lukhas/core/reliability/__init__.py,12,general,,P3,,: Implement or remove dead imports referencing this module
lukhas/memory/scheduled_folding/__init__.py,12,general,,P3,,: Implement or remove dead imports referencing this module
lukhas/tools/code_executor/__init__.py,12,general,,P3,,: Implement or remove dead imports referencing this module
candidate/consciousness/activation.py,5,general,,P3,,: Implement Activation
candidate/consciousness/qi_consciousness_integration.py,91,general,,P3,,: Verify these import paths and ensure modules are structured as packages.
candidate/tests/test_candidate_integration.py,18,general,,P3,,: candidate; consider using impo...
candidate/tests/test_candidate_unit.py,18,general,,P3,,: candidate; consider using impo...
candidate/governance/auth_cross_module_integration.py,34,general,,P3,T4-UNUSED-IMPORT,[T4-UNUSED-IMPORT]: kept pending MATRIZ wiring (document or remove)
candidate/governance/drift_dashboard_visual.py,1,general,,P3,JULES-2,"[JULES-2]: Fix 19 F821 undefined name errors - Drift dashboard visualization, chart/graph undefined references, display fixes  # noqa: invalid-syntax"
candidate/governance/guardian_sentinel.py,209,general,,P3,,: Implement additional Guardian features:
candidate/governance/compliance_dashboard_visual.py,1,general,,P3,JULES-2,"[JULES-2]: Fix 19 F821 undefined name errors - Dashboard visualization fixes, Streamlit import fallbacks, undefined widget references  # noqa: invalid-syntax"
candidate/emotion/dreamseed_upgrade.py,57,general,,P3,,: Update to use unified tier system
candidate/emotion/dreamseed_upgrade.py,68,general,,P3,,: This enum should be replaced with unified tier system.
candidate/emotion/dreamseed_upgrade.py,262,general,,P3,,: Replace with unified tier system
candidate/emotion/dreamseed_upgrade.py,269,general,,P3,,: This method should:
candidate/emotion/dreamseed_upgrade.py,753,general,,P3,,: Add unified tier validation
candidate/emotion/dreamseed_upgrade.py,762,general,,P3,,: Update to:
candidate/core/id.py,27,general,,P3,T4-UNUSED-IMPORT,[T4-UNUSED-IMPORT]: kept for core infrastructure (review and implement)
candidate/core/id.py,31,general,,P3,T4-UNUSED-IMPORT,[T4-UNUSED-IMPORT]: kept for core infrastructure (review and implement)
