module,file,current_star,suggested_star,confidence,reason
candidate.api,manifests/labs/api/module.manifest.json,Supporting,🛡️ Watch (Guardian),0.5,node:action
candidate.api.oidc,manifests/labs/api/oidc/module.manifest.json,Supporting,🛡️ Watch (Guardian),0.6,capability:authentication
candidate.bio.core.symbolic_mito_qi_attention,manifests/labs/bio/core/symbolic_mito_qi_attention/module.manifest.json,Supporting,🌊 Flow (Consciousness),0.5,node:attention
candidate.bio.symbolic.qi_attention,manifests/labs/bio/symbolic/qi_attention/module.manifest.json,Supporting,🌊 Flow (Consciousness),0.5,node:attention
candidate.branding_bridge,manifests/labs/branding_bridge/module.manifest.json,Supporting,🛡️ Watch (Guardian),0.5,node:action
candidate.bridge.adapters,manifests/labs/bridge/adapters/module.manifest.json,Supporting,🛡️ Watch (Guardian),0.5,node:action
candidate.bridge.api,manifests/labs/bridge/api/module.manifest.json,Supporting,🛡️ Watch (Guardian),0.5,node:action
candidate.bridge.llm_wrappers,manifests/labs/bridge/llm_wrappers/module.manifest.json,Supporting,🛡️ Watch (Guardian),0.5,node:action
candidate.cognitive_core,manifests/labs/cognitive_core/module.manifest.json,Supporting,🌊 Flow (Consciousness),0.5,node:thought
candidate.cognitive_core.reasoning.contradiction_integrator,manifests/labs/cognitive_core/reasoning/contradiction_integrator/module.manifest.json,Supporting,🌊 Flow (Consciousness),0.5,node:thought
candidate.cognitive_core.reasoning.deep_inference_engine,manifests/labs/cognitive_core/reasoning/deep_inference_engine/module.manifest.json,Supporting,🌊 Flow (Consciousness),0.5,node:thought
candidate.cognitive_core.reasoning,manifests/labs/cognitive_core/reasoning/module.manifest.json,Supporting,🌊 Flow (Consciousness),0.5,node:thought
candidate.core.adapters,manifests/labs/core/adapters/module.manifest.json,Supporting,🛡️ Watch (Guardian),0.5,node:action
candidate.core.api,manifests/labs/core/api/module.manifest.json,Supporting,🛡️ Watch (Guardian),0.5,node:action
